Form Name,Description,Label,Property Key,Property Value
sysProjectNewStepForm,sysProjectNewStepForm,basic.common.form.sysProjectNewStepForm,,
sysProjectNewTemplateForm,sysProjectNewTemplateForm,basic.common.form.sysProjectNewTemplateForm,,
sysProjectNewTaskForm,sysProjectNewTaskForm,basic.common.form.sysProjectNewTaskForm,,
sysProjectTemplateNewTaskForm,sysProjectTemplateNewTaskForm,basic.common.form.sysProjectTemplateNewTaskForm,,
sysProjectTemplatePreviewForm,sysProjectTemplatePreviewForm,basic.common.form.sysProjectTemplatePreviewForm,,
sysProjectChangeRecordListBeforeForm,sysProjectChangeRecordListBeforeForm,basic.common.form.sysProjectChangeRecordListBeforeForm,,
sysProjectChangeRecordListAfterForm,sysProjectChangeRecordListAfterForm,basic.common.form.sysProjectChangeRecordListAfterForm,,
sysProductWarningAddForm,sysProductWarningAddForm,basic.common.form.sysProductWarningAddForm,,
sysProjectRoleNewForm,sysProjectRoleNewForm,basic.common.form.sysProjectRoleNewForm,,
sysPreviewBaseForm,预览下的基础信息,basic.common.group.baseInfo,,
sysProjectChangeForm,项目变更form,basic.common.form.sysProjectChangeForm,,
sysBatchAddDeliverablesForm,新增交付物,basic.common.form.sysBatchNewAssignmentTaskForm,,
sysPreTaskForm,sysPreTaskForm,basic.common.form.sysPreTaskForm,,
sysStartApprovalProcessForm,启动审批流程,basic.common.form.sysStartApprovalProcessForm,,
sysUpdateTaskProForm,更新任务进度,basic.common.form.sysUpdateTaskProForm,,
sysPreTaskEditForm,sysPreTaskForm,basic.common.form.sysPreTaskForm,,
sysEditTaskForm,编辑任务,basic.common.form.sysEditTaskForm,,
sysAddRelatTaskForm,添加任务关系,basic.common.form.sysAddRelatTaskForm,,
sysInstanceAddDeliverablesForm,sysInstanceAddDeliverablesForm,basic.common.form.sysNewItemForm,,
sysInstanceAddDeliverablesHasPROJECTFOLDERForm,sysInstanceAddDeliverablesHasPROJECTFOLDERForm,basic.common.form.sysNewItemForm,,
sysChangeExecRoleForm,更换执行角色,basic.common.form.sysAddRelatTaskForm,
sysChangeExecutorForm,更换执行人,basic.common.form.sysAddRelatTaskForm,
sysScalingForm,计划缩放,basic.common.form.sysAddRelatTaskForm,
sysPersonalCenterForm,sysPersonalCenter,basic.common.form.sysPersonalCenterForm,,
sysProjectImportFileForm,导入,basic.common.form.sysProjectImportFileForm,,
sysUnimportantFileForm,sysUnimportantFile,basic.common.form.sysUnimportantFileForm,,
sysTaskApprovalForm,sysTaskApproval,basic.common.form.sysTaskApprovalForm,,
sysNewItemCADForm,CAD图档Form,basic.common.form.sysNewItemCADForm,,
sysNewRelatedForm,相关对象新建,,,
sysGeneralConditionSaveForm,全局搜索-通用条件保存,,,
sysProjectTaskExportForm,项目任务导出类型选择form,,,
sysProjectStatisticFilterForm,项目查询筛选,basic.common.form.sysProjectStatisticFilterForm,,
sysTaskStatisticFilterForm,任务查询筛选,basic.common.form.sysTaskStatisticFilterForm,,
sysDeliveryStatisticFilterForm,交付物查询筛选,basic.common.form.sysDeliveryStatisticFilterForm,,
